COM,ET_C2_x,ET_C4_x,ETAZ017,ETBE017,ETFZ017,ETAZ1017,ETAZ5017,ETPFZ1017,ETPFZ2017,ETPBE5017,ETPFZ5017,ETPGZ5017,ETPAZCP17,ETPFZCP17,ETPGZCP17,ETPOQCP17,ETNPRESPUB17,ETPNPRESPUB17,EFF_DE_x,EFF_C2_x,EFF_C4_x,EFF_C5,EFF_KZ_x,ETBE021,ETGZ021,ETAZ1021,ETAZ2021,ETAZ5021,ETPAZ121,ETPBE2021,ETPAZCP21,ETNPRESPUB21,EFF_C1_y,EFF_C3_y,ET_DE,ET_C2_y,ET_C3_y,Pop 15 ans ou plus Agriculteurs exploitants en 1999 (compl),Pop 15 ans ou plus Hommes Agriculteurs exploitants en 2010 (comp,Pop 15-24 ans Agriculteurs exploitants en 2010 (compl),"Pop 15-24 ans Artisans, Comm, Chefs entr en 2010 (compl)",C20_POP2554_CS1,C20_POP55P_CS1,PCT,SUP_GEO,AU2010,CATAU2010,TAU2010_RP17,NPERC1_CS2_2410,NPERC1_CS2_2469,NPERC1_CS2_2471,NPERC2_CS2_2410,NPERC2_CS2_2423,NPERC2_CS2_2469,NPERC2_CS2_2471,NPERC3_CS2_2410,NPERC3_CS2_2423,NPERC3_CS2_2448,NPERC3_CS2_2469,NPERC3_CS2_2471,NPERC3_CS2_2472,NPERC4_CS2_2410,NPERC4_CS2_2448,NPERC4_CS2_2455,NPERC4_CS2_2469,NPERC4_CS2_2471,NPERC4_CS2_2472,NPERC4_CS2_2473,NPERC4_CS2_2476,NPERC4_CS2_2481,NPERC5_CS2_2410,NPERC5_CS2_2421,NPERC5_CS2_2423,NPERC5_CS2_2446,NPERC5_CS2_2447,NPERC5_CS2_2448,NPERC5_CS2_2451,NPERC5_CS2_2454,NPERC5_CS2_2455,NPERC5_CS2_2456,NPERC5_CS2_2469,NPERC5_CS2_2471,NPERC5_CS2_2472,NPERC5_CS2_2473,NPERC5_CS2_2476,NPERC5_CS2_2481,NPERC6_CS2_2410,NPERC6_CS2_2421,NPERC6_CS2_2422,NPERC6_CS2_2423,NPERC6_CS2_2431,NPERC6_CS2_2432,NPERC6_CS2_2436,NPERC6_CS2_2441,NPERC6_CS2_2446,NPERC6_CS2_2447,NPERC6_CS2_2448,NPERC6_CS2_2451,NPERC6_CS2_2454,NPERC6_CS2_2455,NPERC6_CS2_2456,NPERC6_CS2_2466,NPERC6_CS2_2469,NPERC6_CS2_2471,NPERC6_CS2_2472,NPERC6_CS2_2473,NPERC6_CS2_2476,NPERC6_CS2_2481,NPERC6_CS2_2482,PPMINI16,P20_HNSAL15P_AIDFAM,P20_ACTOCC15P_ILT5,C20_AGRILT_FSAL,C14_ACT1564_CS1,C09_AGRILT_SAL,C09_CONSTLT_FNSAL,P09_ACTOCC15P_ILT3,P09_ACTOCC15P_ILT4,nbobs_mail,i015_A2013,i031_A2013,i033a_A2013,i033b_A2013,i034a_A2013,i034b_A2013,i035a_A2013,i035b_A2013,i061b_A2013,i067_A2013,i081a_A2013,i081b_A2013,i081c_A2013,i081d_A2013,i081f_A2013,i091b_A2013,i092b_A2013,i097_A2013,i114_A2013,i118b_A2013,i015_A2019,i033a_A2019,i033b_A2019,i034a_A2019,i034b_A2019,i036a_A2019,i036c_A2019,i070a_A2019,i070b_A2019,i087a_A2019,i087b_A2019,i087c_A2019,i087d_A2019,i091b_A2019,i105c_A2019,i105d_A2019,i105e_A2019,i105f_A2019,i118b_A2019,i120a_A2019,NTLBIN
16001,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,0.0,0.0,25.0,10.0,10,3344,0,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.01552257137888,0.0,23.0,0.0,0.0,28.0,13.0,1735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,197.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0
16002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,8,1128,478,222,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.97433340655896,0.0,0.0,30.8390915892416,3.73807170778686,636,0.0,22270.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9259444150917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0
16003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,5.0,0.0,19,1867,49,112,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,8.04784688995216,8.0686274509804,0.0,1.00857843137255,9.07720588235295,538,0.0,497568.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,2.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.94,0.0,0.0,0.0,25.5,0.0,0
16005,0,0,3,0,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,1.0,2.0,0.0,0.0,0.0,7.0,64.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,10.0,0.0,8,2376,0,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,23.8278452526963,0.0,0.0,27.8263789104976,14.1307889049162,493,0.0,343348.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8109826279361,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,37.67,0.0,0.0,0.0,0.0,0.0,1.0,1515.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.18,0.0,0
16007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,32.0,0.0,0.0,20.0,5.0,6,4658,0,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5.05259728849304,0.0,29.0,4.0,0.0,18.0,5.0,507,0.0,170025.0,2.0,2.0,2.0,0.0,0.0,0.0,28.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,102.0,0.0,2.0,2.0,2.0,0.0,1.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0
16008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,4.0,0.0,5,1210,0,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.78700661089741,0.0,0.0,4.12012012012012,8.15967606430812,0.0,4.0384589066158,1.00961472665395,568,0.0,943543.0,2.0,2.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3000.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.42,0.0,0.0,0.0,103.0,0.0,0
16009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,12.0,0.0,0.0,15.0,10.0,10,2986,0,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0038441029677,0.0,55.0,0.0,4.0,6.0,2.0,507,0.0,202912.0,0.0,0.0,2.0,0.0,0.0,0.0,28.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,0.0,2.0,0.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0
16011,0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,20.0,10.0,5,986,49,112,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,15.0,11.90076069105,0.0,4.0,6.0,568,0.0,42927.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.47,0.0,0.0,0.0,0.0,0.0,1.0,127.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.66,0.0,0
16012,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,1.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,9.0,0.0,7,1434,150,112,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.975444768445568,35.8171900844708,12.191235059761,60.8117811419838,0.0,5.11022044088175,1.02204408817635,587,0.0,24117.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,67.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,0.0,0
16013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,16.0,0.0,0.0,4.0,5.0,7,1083,997,120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,19.7808219178082,4.08293636159017,0.0,5.8575197889182,0.0,504,0.0,747660.0,0.0,0.0,2.0,2.0,0.0,0.0,24.2460273972603,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,101.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.46,226.78,0.0,0.0,101.0,0.0,0
16014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,9.0,0.0,9,357,0,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,21.6,0.0,0.0,0.854014598540146,0.854014598540146,859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.24,0.0,0.0,0.0,3000.0,0.0,0
16015,0,1,1,5,26,0,0,67,248,100,0,187,0,0,367,7283,0,0,116,0,4,508,1004,3.0,13.0,2.0,0.0,0.0,18.0,177.0,0.0,2.0,317.0,1354.0,6.0,0.0,9.0,60.0,22.0,3.0,44.0,21.0,7.0,98,2171,49,111,7,11.0,57.0,8.0,6.0,21.0,33.0,5.0,3.0,29.0,19.0,10.0,3.0,10.0,2.0,9.0,42.0,10.0,0.0,3.0,7.0,8.0,34.0,0.0,28.0,7.0,17.0,7.0,8.0,41.0,9.0,9.0,17.0,13.0,0.0,0.0,0.0,4.0,33.0,0.0,10.0,9.0,0.0,0.0,10.0,17.0,20.0,4.0,6.0,5.0,25.0,3.0,1.0,12.0,36.0,0.0,0.0,0.0,0.0,4.0,25.0,29.0,4.6,17.6525070645338,32.8889129655549,28.9877025908959,38.3901250591871,29.2881195730943,16.3579891459618,204.189406478178,552.372965401972,8287,1.0,2694412.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,293.79,1.0,2.0,0.0,0.0,0.0,1.0,83373.55,1.0,52800.0,13730.171,7.0,556.1,1.0,0.0,156.36,0.0,0.0,0.0,248.61,57.1,1
16016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,48.0,12.0,0.0,0.0,15.0,10.0,10,3090,621,222,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.964029182663666,25.5120481927711,3.96626506024096,0.0,9.91566265060241,25.7807228915663,1735,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,24.11,0.0,2.0,2.0,0.0,0.0,3.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.29,0.0,0
16018,0,0,1,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,0,0.0,0.0,0.0,1.0,0.0,25.0,24.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,32.0,12.0,0.0,0.0,10.0,5.0,12,1171,150,112,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.982254341360772,25.2039537585206,3.99455782312925,22.1474846903817,3.96675900277008,26.7756232686981,4.9584487534626,3686,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,19.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.33,0.0,2.0,2.0,0.0,0.0,1.0,416.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.7,0.0,0.0,0.0,25.29,0.0,0
16019,0,0,2,0,3,0,0,39,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,8.0,0.0,0.0,10.0,21.0,18,2143,49,112,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,10.2681859712431,15.9867219917012,0.0,0.0,2.05258386219402,9.23662737987309,504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,356.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.11,0.0,0
16020,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,17,238,0,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,17.0497346849811,15.0438835455715,914,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,1.0,967.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.3,0.0,241.3,0.0,103.0,0.0,0
16023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,9.0,0.0,10.0,5,1284,998,300,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,13.1496667605369,4.0,0.0,12.309450664942,3.05594405594406,507,2.0,326100.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,2.0,361.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0
16024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,5,1756,49,112,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,8.27091633466136,4.0,0.0,5.27498800273145,2.10999520109258,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67,0.0,0
16025,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,68.0,62.0,0.0,0.0,20.0,25.0,9,3127,0,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,9.63047074097655,48.0380168699662,28.4705699824339,0.0,68.5050384580734,19.4268019507969,574,0.0,89913.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,1.0,181.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.74,0.0,8.87,0.0,105.0,0.0,0
16026,0,0,3,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,46,0,0,14,0,0.0,1.0,0.0,0.0,0.0,2.0,43.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,14,972,49,111,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,20.0150958882836,0.0,0.0,3.94167306216424,12.8104374520338,8287,0.0,441175.0,102.0,2.0,0.0,0.0,0.0,0.0,18.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,28.88,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.24,0.0,0.0,0.0,40.23,0.0,0
